"","year","state","ava","aal","funded_ratio"
"240",2005,"Tennessee",27751174000,28117094000,0.986985852805414
"241",2005,"Texas",135086883000,153109923067,0.882286923629939
"242",2005,"Utah",14568884000,15429070000,0.944249005286774
"243",2005,"Vermont",2502914000,2666946000,0.938494442707126
"244",2005,"Virginia",4.0372e+10,4.9628e+10,0.81349238333199
"245",2005,"Washington",21761700000,1.7308e+10,1.25732031430552
"246",2005,"West Virginia",5032006000,10692093000,0.47062871600537
"247",2005,"Wisconsin",68615100000,68978600000,0.994730249671637
"248",2005,"Wyoming",4843861114,5091763000,0.951313153027743
"249",2006,"Alabama",29108664000,35402664000,0.822216768771977
"250",2006,"Alaska",9627999000,12953379000,0.743280884470376
"251",2006,"Arizona",29686351990,35668220041,0.832291377474852
"252",2006,"Arkansas",1.4281e+10,1.7559e+10,0.81331510906088
"253",2006,"California",372242500000,419304708000,0.887761317480843
"254",2006,"Colorado",36476409000,49243113000,0.74074132965558
"255",2006,"Connecticut",20729393000,35492649168,0.584047499578857
"256",2006,"Delaware",5998746000,5901072200,1.01655187340362
"257",2006,"Florida",117159615000,110977831000,1.05570287276564
"258",2006,"Georgia",62724159000,65302526000,0.960516580935935
"259",2006,"Hawaii",9529371000,14661399000,0.649963281130266
"260",2006,"Idaho",9237300000,9638800000,0.958345437191352
"261",2006,"Illinois",83087028356,124048574941,0.669794299495322
"262",2006,"Indiana",18864659965,28816500483,0.654647845810737
"263",2006,"Iowa",20672609608,23368684438,0.884628728795024
"264",2006,"Kansas",11339293000,17552791000,0.646010825286987
"265",2006,"Kentucky",27357680515,38027975188,0.719409339565176
"266",2006,"Louisiana",25090627000,36271628483,0.691742500940084
"267",2006,"Maine",9530600000,12318475740,0.773683384304818
"268",2006,"Maryland",33863393000,40908574778,0.827782272635203
"269",2006,"Massachusetts",35321338000,48194642000,0.732889311637588
"270",2006,"Michigan",59378700000,69122220000,0.859039249607434
"271",2006,"Minnesota",45035526000,51496593000,0.874534088109479
"272",2006,"Mississippi",18321063000,24928464000,0.734945522515948
"273",2006,"Missouri",38602165855,46930759188,0.82253444271727
"274",2006,"Montana",6329584000,7652913000,0.827081661584288
"275",2006,"Nebraska",5739048994,6584275406,0.871629547690278
"276",2006,"Nevada",19282027900,31133611000,0.61933156099368
"277",2006,"New Hampshire",3928270000,6402875000,0.613516584346875
"278",2006,"New Jersey",83264012838,107601232276,0.773820253511833
"279",2006,"New Mexico",18664117103,23218022238,0.803863348552281
"280",2006,"New York",210371548380,1.9743e+11,1.06555006017323
"281",2006,"North Carolina",64066031691,63872115484,1.00303600727063
"282",2006,"North Dakota",2878500000,3388442900,0.849505240297837
"283",2006,"Ohio",138885050000,169146677000,0.821092394265599
"284",2006,"Oklahoma",14614884043,24968116958,0.585341860885399
"285",2006,"Oregon",51382600000,51252900000,1.00253058851304
"286",2006,"Pennsylvania",81949543295,95047609100,0.862194684021778
"287",2006,"Rhode Island",6596941924,11661499463,0.565702716441483
"288",2006,"South Carolina",25229287000,35484800000,0.710988564117594
"289",2006,"South Dakota",5668500000,5859994198,0.96732177686023
"290",2006,"Tennessee",29432071492,30416432276,0.967637204289186
"291",2006,"Texas",143261244000,161759454422,0.885643714068535
"292",2006,"Utah",16105143000,16614120000,0.969364793320381
"293",2006,"Vermont",2650716000,2918869000,0.908131197391867
"294",2006,"Virginia",4.2669e+10,5.2822e+10,0.807788421491045
"295",2006,"Washington",2.4142e+10,1.9642e+10,1.22910090622136
"296",2006,"West Virginia",5874650000,11142572000,0.527225671056916
"297",2006,"Wisconsin",73415300000,73735800000,0.995653400383531
"298",2006,"Wyoming",5160601533,5468229000,0.943742760773186
"299",2007,"Alabama",30421813000,38341876000,0.793435694174171
"300",2007,"Alaska",10180871000,13705772000,0.742816311259227
"301",2007,"Arizona",31079535330,38769092498,0.801657540258476
"302",2007,"Arkansas",1.6017e+10,1.8503e+10,0.86564340917689
"303",2007,"California",4.08345e+11,456789576000,0.893945530841098
"304",2007,"Colorado",39184297000,52194923000,0.750730047058408
"305",2007,"Connecticut",24016320000,38984993265,0.616040121816858
"306",2007,"Delaware",6437916000,6208024700,1.03703131206936
"307",2007,"Florida",125584704000,118870513000,1.05648323398756
"308",2007,"Georgia",65942860000,69881749000,0.943634939646402
"309",2007,"Hawaii",10589800000,15696546000,0.674657978895484
"310",2007,"Idaho",10945800000,10431900000,1.0492623587266
"311",2007,"Illinois",93248318152,135512934381,0.688113784694741
"312",2007,"Indiana",20697493086,31255611118,0.662200876759706
"313",2007,"Iowa",22511763415,25036490782,0.899158097315493
"314",2007,"Kansas",12189197000,18984915000,0.642046435288227
"315",2007,"Kentucky",28256138672,40168087911,0.703447441526388
"316",2007,"Louisiana",28416389284,39099832304,0.726764991293657
"317",2007,"Maine",10437100000,13048682922,0.799858503911005
"318",2007,"Maryland",35841081000,44508397869,0.805265583935189
"319",2007,"Massachusetts",39265617000,50991524000,0.770042036790271
"320",2007,"Michigan",62651529000,71992556000,0.870250099190811
"321",2007,"Minnesota",45883152000,54472593000,0.842316281877751
"322",2007,"Mississippi",19791564000,26862636000,0.736769243346036
"323",2007,"Missouri",42151051485,50478045710,0.83503730962884
"324",2007,"Montana",6984834000,8129751000,0.859169487478768
"325",2007,"Nebraska",6396336863,7070308583,0.904675770217369
"326",2007,"Nevada",21359026470,33538198366,0.636856704015834
"327",2007,"New Hampshire",4862256315,7277775022,0.668096540536342
"328",2007,"New Jersey",87145281433,114943164813,0.758159752907238
"329",2007,"New Mexico",20623632276,25152580229,0.819941019499133
"330",2007,"New York",225354007770,207396200000,1.08658696625107
"331",2007,"North Carolina",67985596666,68458466714,0.993092599488453
"332",2007,"North Dakota",3253200000,3818468600,0.851964580774607
"333",2007,"Ohio",155548511000,177891865000,0.874399236862237
"334",2007,"Oklahoma",16159606058,26473301601,0.610411436456025
"335",2007,"Oregon",56616500000,52871200000,1.07083818789814
"336",2007,"Pennsylvania",89355863442,99531862998,0.89776138766533
"337",2007,"Rhode Island",7296025872,12262247543,0.594999069005502
"338",2007,"South Carolina",26701678000,37497222000,0.712097498849381
"339",2007,"South Dakota",6526500000,6718761091,0.97138444299537
"340",2007,"Tennessee",31112968983,32715770551,0.951008289243824
"341",2007,"Texas",155792012000,175357131000,0.888427012415024
"342",2007,"Utah",18065242000,18795682000,0.961137882626446
"343",2007,"Vermont",2860547000,3124293000,0.9155821813127
"344",2007,"Virginia",4.7815e+10,5.8116e+10,0.822751049624888
"345",2007,"Washington",2.6658e+10,2.1543e+10,1.23743211251915
"346",2007,"West Virginia",7959289000,11568762000,0.687998335517664
"347",2007,"Wisconsin",79791900000,80079700000,0.996406080442359
"348",2007,"Wyoming",5654022877,6015985000,0.939833273686686
"349",2008,"Alabama",30718243000,39882804000,0.770212721251996
"350",2008,"Alaska",10880858000,14385936000,0.756353844476995
"351",2008,"Arizona",32915111372,41167059653,0.799549728580174
"352",2008,"Arkansas",1.7185e+10,1.9877e+10,0.86456708758867
"353",2008,"California",432327272000,488634822000,0.884765580624133
"354",2008,"Colorado",38580996000,55336953000,0.697201307777102
"355",2008,"Connecticut",27040345000,42766214039,0.632282880484603
"356",2008,"Delaware",6751949000,6549856100,1.0308545557207
"357",2008,"Florida",130720547000,124087214000,1.05345702257446
"358",2008,"Georgia",68371630000,74814634000,0.913880431467459
"359",2008,"Hawaii",1.1381e+10,16549069000,0.687712402431823
"360",2008,"Idaho",1.0402e+10,11211800000,0.927772525375051
"361",2008,"Illinois",85613467997,143002524451,0.598685011510657
"362",2008,"Indiana",21814163446,31853283919,0.68483248074112
"363",2008,"Iowa",23748595183,26631327589,0.891754085620925
"364",2008,"Kansas",13433115000,20106787000,0.668088591180679
"365",2008,"Kentucky",28624619918,42915344598,0.667001982301081
"366",2008,"Louisiana",29934644810,41720285085,0.717508155781098
"367",2008,"Maine",10892700000,13635148315,0.798869198072232
"368",2008,"Maryland",37384121000,47478473719,0.78739095998024
"369",2008,"Massachusetts",43284209000,53776006000,0.804898173360067
"370",2008,"Michigan",63325861000,76695538000,0.825678555120117
"371",2008,"Minnesota",45522426000,55873351000,0.814743078502666
"372",2008,"Mississippi",20814720000,28534694000,0.72945306510033
"373",2008,"Missouri",45034469659,53975864137,0.834344579360412
"374",2008,"Montana",7381507000,8615543000,0.856766311769322
"375",2008,"Nebraska",6932918638,7654536359,0.905726789036472
"376",2008,"Nevada",23237651920,36990740403,0.62820185989344
"377",2008,"New Hampshire",5302034006,7821316352,0.67789535256993
"378",2008,"New Jersey",88836604990,122620926616,0.724481599035709
"379",2008,"New Mexico",22089046147,26707335321,0.827077875104648
"380",2008,"New York",239937360410,218374500000,1.09874257484276
"381",2008,"North Carolina",72075104509,72386892131,0.995692761316016
"382",2008,"North Dakota",3519300000,4068227000,0.865069722018953
"383",2008,"Ohio",145040008000,189267348000,0.766323454798976
"384",2008,"Oklahoma",17500897362,29373362952,0.595808433327801
"385",2008,"Oregon",59327800000,54259500000,1.09340852753896
"386",2008,"Pennsylvania",93097930742,106659569031,0.872851180515661
"387",2008,"Rhode Island",7919890150,12343614543,0.641618394872135
"388",2008,"South Carolina",28062814000,39982374000,0.701879633260396
"389",2008,"South Dakota",6784300000,6976811927,0.972406891712963
"390",2008,"Tennessee",31376311832,33957256394,0.923994314144413
"391",2008,"Texas",164530927000,185131315000,0.888725535169455
"392",2008,"Utah",17685049000,20285938000,0.871788575909085
"393",2008,"Vermont",2982563000,3449169000,0.864719299054352
"394",2008,"Virginia",5.2548e+10,6.2554e+10,0.840042203536145
"395",2008,"Washington",2.973e+10,2.4286e+10,1.22416206868154
"396",2008,"West Virginia",8072942000,12945605000,0.623604845042005
"397",2008,"Wisconsin",77159400000,7.7412e+10,0.996736940009301
"398",2008,"Wyoming",4835874981,6152122000,0.786049915947701
"399",2009,"Alabama",30510452000,41293576000,0.738866791289764
"400",2009,"Alaska",9224247000,15166073000,0.608215917198869
"401",2009,"Arizona",33848409857,43583956659,0.776625447795602
"402",2009,"Arkansas",1.603e+10,2.0957e+10,0.764899556234194
"403",2009,"California",432904773000,524885525000,0.824760357032136
"404",2009,"Colorado",37370274000,54240853000,0.688969142870965
"405",2009,"Connecticut",25256326000,44618093000,0.566055703008194
"406",2009,"Delaware",6744050000,6827006000,0.987848846185282
"407",2009,"Florida",118764692000,136375597000,0.870864689963557
"408",2009,"Georgia",67052210000,78748160000,0.85147652973733
"409",2009,"Hawaii",11400100000,17636400000,0.646396089904969
"410",2009,"Idaho",8.646e+09,11732200000,0.7369461823017
"411",2009,"Illinois",86062799311,151986888308,0.566251472538832
"412",2009,"Indiana",20599156802,32668905911,0.630543210051734
"413",2009,"Iowa",23021910941,28235238823,0.815360942590884
"414",2009,"Kansas",11827619000,21138206000,0.559537502851472
"415",2009,"Kentucky",27585373183,45224745425,0.609961933975884
"416",2009,"Louisiana",26993549398,43327955451,0.623005381099214
"417",2009,"Maine",10466900000,14377521709,0.728004465014854
"418",2009,"Maryland",32444733000,49690403597,0.65293760266336
"419",2009,"Massachusetts",35919945000,56267022000,0.638383616605834
"420",2009,"Michigan",62252969000,79453410000,0.783515383417779
"421",2009,"Minnesota",45311154000,58723252000,0.77160498536423
"422",2009,"Mississippi",20597581000,30594546000,0.67324355785505
"423",2009,"Missouri",44296495925,56288140618,0.786959658618297
"424",2009,"Montana",6921612000,9123819000,0.758631007476146
"425",2009,"Nebraska",7007581825,8092339318,0.865952544700252
"426",2009,"Nevada",23971875851,40062695388,0.598359037474556
"427",2009,"New Hampshire",4937319506,8475051817,0.58257101108176
"428",2009,"New Jersey",86675665308,131488565424,0.659187854308885
"429",2009,"New Mexico",21920257228,28791579200,0.761342650770611
"430",2009,"New York",237666518390,2.27842e+11,1.04311987425497
"431",2009,"North Carolina",72228397085,75352246929,0.958543374997916
"432",2009,"North Dakota",3517427834,4347100800,0.809143379882058
"433",2009,"Ohio",133029952000,197408697000,0.673880908093933
"434",2009,"Oklahoma",17364811334,30495491612,0.569422246243341
"435",2009,"Oregon",43520600000,56810600000,0.766064783684735
"436",2009,"Pennsylvania",91606418779,112769390264,0.812334078995584
"437",2009,"Rhode Island",7851379352,12738860089,0.61633296049618
"438",2009,"South Carolina",28665282000,41714426000,0.68717910681547
"439",2009,"South Dakota",6778500000,7387406340,0.91757508495194
"440",2009,"Tennessee",31639654681,35198742237,0.898885945070538
"441",2009,"Texas",163544330000,195063929000,0.838414005287467
"442",2009,"Utah",18571641000,21530152000,0.862587546989914
"443",2009,"Vermont",2591717000,3645982000,0.710841962467176
"444",2009,"Virginia",5.3185e+10,6.6323e+10,0.801908840070564
"445",2009,"Washington",3.2487e+10,2.7426e+10,1.18453292496172
"446",2009,"West Virginia",7485472000,13538027000,0.552921928727133
"447",2009,"Wisconsin",78911300000,79104600000,0.997556400007079
"448",2009,"Wyoming",5742541676,6562330607,0.875076557385643
"449",2010,"Alabama",29872110000,42583642000,0.701492606010543
"450",2010,"Alaska",9729700000,16378653000,0.594047630168366
"451",2010,"Arizona",34545447416,45976918174,0.7513650063552
"452",2010,"Arkansas",1.6254e+10,2.2001e+10,0.738784600699968
